Rides Dates
456603 2012-08-25
402829 2012-08-26
409874 2012-08-27
452675 2012-08-28
460015 2012-08-29
475770 2012-08-30
478865 2012-08-31

441713 2012-09-01
388703 2012-09-02
347615 2012-09-03
456512 2012-09-04
501150 2012-09-05
529502 2012-09-06
566505 2012-09-07
558611 2012-09-08
485531 2012-09-09
468765 2012-09-10
491633 2012-09-11
505646 2012-09-12
526472 2012-09-13
541363 2012-09-14
530859 2012-09-15
452545 2012-09-16
399464 2012-09-17
457179 2012-09-18
504883 2012-09-19
527113 2012-09-20
533328 2012-09-21
544721 2012-09-22
461109 2012-09-23
420333 2012-09-24
435286 2012-09-25
440115 2012-09-26
492045 2012-09-27
518681 2012-09-28
547796 2012-09-29
471676 2012-09-30

440313 2012-10-01
483814 2012-10-02
499493 2012-10-03
526930 2012-10-04
536824 2012-10-05
545955 2012-10-06
475409 2012-10-07
404474 2012-10-08
479261 2012-10-09
500107 2012-10-10
521018 2012-10-11
556519 2012-10-12
547776 2012-10-13
462850 2012-10-14
454171 2012-10-15
490846 2012-10-16
504137 2012-10-17
517804 2012-10-18
547098 2012-10-19
535041 2012-10-20
472616 2012-10-21
